S. aureus F81381,#3d85c6
S. aureus T54283,#3d85c6
S. aureus  M3823,#3d85c6
S. aureus  H1675,#3d85c6
S. aureus P311327-203,#3d85c6
S. aureus SMMC6016,#3d85c6
S. aureus COAS6059,#3d85c6
S. aureus  2588STDY5627584,#3d85c6
S. aureus  USFL080,#3d85c6
S. aureus  USFL098,#3d85c6
S. aureus  2588STDY5747973,#3d85c6
S. aureus  2588STDY5748432,#3d85c6
S. aureus M91141,#3d85c6
S. aureus M79667,#3d85c6
S. aureus  UC1001,#3d85c6
S. aureus  Transconjugant 3B,#3d85c6
Staphylococcus sp. HMSC64F10,#3d85c6
S. aureus HSOU6002,#3d85c6
S. aureus  M3094,#3d85c6
S. aureus COAS6049,#3d85c6
S. aureus  sta3387,#3d85c6
S. aureus  abscess125,#3d85c6
S. aureus  KE3074,#3d85c6
S. aureus H58183,#3d85c6
S. aureus T30569,#3d85c6
S. aureus  2588STDY5627528,#3d85c6
S. aureus  2588STDY5748670,#3d85c6
S. aureus  2588STDY5627554,#3d85c6
S. aureus  2588STDY5748124,#3d85c6
S. aureus  MRSA_S15,#3d85c6
S. aureus  MRSA_S19,#3d85c6
S. aureus  UC313,#3d85c6
S. aureus  H1303,#3d85c6
S. aureus  MV8,#3d85c6
S. aureus W13012_022013,#3d85c6
S. aureus P311014-182,#3d85c6
S. aureus  2588STDY5748790,#3d85c6
S. aureus  HP20814.055,#3d85c6
S. aureus P210436-23,#3d85c6
S. aureus  2588STDY5748688,#3d85c6
S. aureus  192_SAUR,#3d85c6
S. aureus  M3014,#3d85c6
S. aureus  2588STDY5748872,#3d85c6
S. aureus  USFL347,#3d85c6
S. aureus  KE8268,#3d85c6
S. aureus  D2851,#3d85c6
S. aureus  FDAARGOS_169,#3d85c6
S. aureus F76253,#3d85c6
S. aureus  UC151,#3d85c6
S. aureus  STV073L,#3d85c6
S. aureus  MRSA_S26,#3d85c6
S. aureus  MRSA_S2,#3d85c6
S. aureus  MRSA_S1,#3d85c6
S. aureus HI022,#3d85c6
S. aureus P210439-24,#3d85c6
S. aureus  2588STDY5748873,#3d85c6
S. aureus P210426-21,#3d85c6
S. aureus  2588STDY5748696,#3d85c6
S. aureus  TW06,#3d85c6
S. aureus  2588STDY5627608,#3d85c6
S. aureus P210181-42,#3d85c6
S. aureus  2588STDY5627551,#3d85c6
S. aureus  2588STDY5748138,#3d85c6
S. aureus WMCA6041,#3d85c6
S. aureus  2588STDY5748146,#3d85c6
Staphylococcus sp. HMSC57A07,#3d85c6
S. aureus  2588STDY5748891,#3d85c6
S. aureus  USA300_2014.C01,#3d85c6
S. aureus  2588STDY5748639,#3d85c6
S. aureus  2588STDY5748164,#3d85c6
S. aureus  2588STDY5748297,#3d85c6
